Date,Type,Price
2023-03-20,Close,67.589996
2023-03-21,Open,67.599998
2023-03-21,Close,67.360001
2023-03-22,Open,67.269997
2023-03-22,Close,67.430000
2023-03-23,Open,68.019997
2023-03-23,Close,68.260002
2023-03-24,Open,68.559998
2023-03-24,Close,68.980003
2023-03-27,Open,68.889999
2023-03-27,Close,68.419998
2023-03-28,Open,68.580002
2023-03-28,Close,68.309998
2023-03-29,Open,68.699997
2023-03-29,Close,69.199997
2023-03-31,Open,70.110001
2023-03-31,Close,70.669998
2023-04-03,Open,69.010002
2023-04-03,Close,70.389999
2023-04-05,Open,72.599998
2023-04-05,Close,72.949997
2023-04-06,Open,72.900002
2023-04-06,Close,73.220001
2023-04-10,Open,72.980003
2023-04-10,Close,73.239998
2023-04-11,Open,73.199997
2023-04-11,Close,73.570000
2023-04-12,Open,74.199997
2023-04-12,Close,73.849998
2023-04-13,Open,74.470001
2023-04-13,Close,74.860001
2023-04-17,Open,74.860001
2023-04-17,Close,74.620003
2023-04-18,Open,73.980003
2023-04-18,Close,73.680000
2023-04-19,Open,73.919998
2023-04-19,Close,73.000000
2023-04-20,Open,73.809998
2023-04-20,Close,74.570000
2023-04-21,Open,74.580002
2023-04-21,Close,73.940002
2023-04-24,Open,73.570000
2023-04-24,Close,73.669998
2023-04-25,Open,74.040001
2023-04-25,Close,73.730003
2023-04-26,Open,73.690002
2023-04-26,Close,73.510002
2023-04-27,Open,73.099998
2023-04-27,Close,73.449997
2023-04-28,Open,73.279999
2023-04-28,Close,73.080002
2023-05-02,Open,73.080002
2023-05-02,Close,72.989998
2023-05-03,Open,74.110001
2023-05-03,Close,74.410004
2023-05-04,Open,75.050003
2023-05-04,Close,75.150002
2023-05-05,Open,75.860001
2023-05-05,Close,75.930000
2023-05-08,Open,75.389999
2023-05-08,Close,75.250000
2023-05-09,Open,75.550003
2023-05-09,Close,75.230003
2023-05-10,Open,75.739998
2023-05-10,Close,75.419998
2023-05-11,Open,75.419998
2023-05-11,Close,73.889999
2023-05-12,Open,71.900002
2023-05-12,Close,71.089996
2023-05-15,Open,71.889999
2023-05-15,Close,71.830002
2023-05-16,Open,71.879997
2023-05-16,Close,71.250000
2023-05-17,Open,71.190002
2023-05-17,Close,70.949997
2023-05-18,Open,70.989998
2023-05-18,Close,70.669998
2023-05-19,Open,71.300003
2023-05-19,Close,71.209999
2023-05-22,Open,71.690002
2023-05-22,Close,71.680000
2023-05-23,Open,71.400002
2023-05-23,Close,69.919998
2023-05-24,Open,70.400002
2023-05-24,Close,70.419998
2023-05-25,Open,69.650002
2023-05-25,Close,69.720001
2023-05-26,Open,69.620003
2023-05-26,Close,69.750000
2023-05-29,Open,70.989998
2023-05-29,Close,70.199997
2023-05-30,Open,70.209999
2023-05-30,Close,69.959999
2023-05-31,Open,71.000000
2023-05-31,Close,70.180000
2023-06-01,Open,70.489998
2023-06-01,Close,70.300003
2023-06-02,Open,71.309998
2023-06-02,Close,71.480003
2023-06-05,Open,71.120003
2023-06-05,Close,70.629997
2023-06-06,Open,70.889999
2023-06-06,Close,70.730003
2023-06-07,Open,72.849998
2023-06-07,Close,70.709999
2023-06-08,Open,70.889999
2023-06-08,Close,71.059998
2023-06-09,Open,72.110001
2023-06-09,Close,72.660004
2023-06-12,Open,73.000000
2023-06-12,Close,72.349998
2023-06-13,Open,72.269997
2023-06-13,Close,72.269997
2023-06-14,Open,71.699997
2023-06-14,Close,71.480003
2023-06-15,Open,71.139999
2023-06-15,Close,70.120003
2023-06-16,Open,71.129997
2023-06-16,Close,71.489998
2023-06-19,Open,71.790001
2023-06-19,Close,71.739998
2023-06-20,Open,71.750000
2023-06-20,Close,71.449997
2023-06-21,Open,71.500000
2023-06-21,Close,69.360001
2023-06-22,Open,68.300003
2023-06-22,Close,68.089996
2023-06-23,Open,66.989998
2023-06-23,Close,67.410004
2023-06-26,Open,68.000000
2023-06-26,Close,68.480003
2023-06-27,Open,69.879997
2023-06-27,Close,68.800003
2023-06-28,Open,68.800003
2023-06-28,Close,68.379997
2023-06-30,Open,68.540001
2023-06-30,Close,67.570000
2023-07-03,Open,68.250000
2023-07-03,Close,68.500000
2023-07-04,Open,68.760002
2023-07-04,Close,69.019997
2023-07-05,Open,68.940002
2023-07-05,Close,68.919998
2023-07-06,Open,69.510002
2023-07-06,Close,69.739998
2023-07-07,Open,68.980003
2023-07-07,Close,68.940002
2023-07-10,Open,72.389999
2023-07-10,Close,69.650002
2023-07-11,Open,73.129997
2023-07-11,Close,70.000000
2023-07-12,Open,70.089996
2023-07-12,Close,69.889999
2023-07-13,Open,71.830002
2023-07-13,Close,72.150002
2023-07-14,Open,73.500000
2023-07-14,Close,73.610001
2023-07-17,Open,73.529999
2023-07-17,Close,73.809998
2023-07-18,Open,73.879997
2023-07-18,Close,74.050003
2023-07-19,Open,74.050003
2023-07-19,Close,74.419998
2023-07-20,Open,74.680000
2023-07-20,Close,74.760002
2023-07-21,Open,74.150002
2023-07-21,Close,73.449997
2023-07-24,Open,73.650002
2023-07-24,Close,73.230003
2023-07-25,Open,73.279999
2023-07-25,Close,73.169998
2023-07-26,Open,73.410004
2023-07-26,Close,73.580002
2023-07-27,Open,74.220001
2023-07-27,Close,74.150002
2023-07-28,Open,72.800003
2023-07-28,Close,72.400002
2023-07-31,Open,73.739998
2023-07-31,Close,72.680000
2023-08-01,Open,73.510002
2023-08-01,Close,73.370003
2023-08-02,Open,73.099998
2023-08-02,Close,72.970001
2023-08-03,Open,72.970001
2023-08-03,Close,71.139999
2023-08-04,Open,71.230003
2023-08-04,Close,71.139999
2023-08-07,Open,71.150002
2023-08-07,Close,71.040001
2023-08-08,Open,70.489998
2023-08-08,Close,70.320000
2023-08-09,Open,71.129997
2023-08-09,Close,69.410004
2023-08-10,Open,69.610001
2023-08-10,Close,69.480003
2023-08-11,Open,72.180000
2023-08-11,Close,69.250000
2023-08-14,Open,69.199997
2023-08-14,Close,69.320000
2023-08-16,Open,69.330002
2023-08-16,Close,69.680000
2023-08-17,Open,69.690002
2023-08-17,Close,69.169998
2023-08-18,Open,69.599998
2023-08-18,Close,69.629997
2023-08-21,Open,69.699997
2023-08-21,Close,69.730003
2023-08-22,Open,70.610001
2023-08-22,Close,70.949997
2023-08-23,Open,71.180000
2023-08-23,Close,71.620003
2023-08-24,Open,72.000000
2023-08-24,Close,72.540001
2023-08-25,Open,71.989998
2023-08-25,Close,72.550003
2023-08-28,Open,72.559998
2023-08-28,Close,72.480003
2023-08-29,Open,72.709999
2023-08-29,Close,72.690002
2023-08-30,Open,73.349998
2023-08-30,Close,73.480003
2023-08-31,Open,73.500000
2023-08-31,Close,73.290001
2023-09-01,Open,73.300003
2023-09-01,Close,73.550003
2023-09-04,Open,73.599998
2023-09-04,Close,72.430000
2023-09-05,Open,72.199997
2023-09-05,Close,71.230003
2023-09-06,Open,71.480003
2023-09-06,Close,71.120003
2023-09-07,Open,70.400002
2023-09-07,Close,70.400002
2023-09-08,Open,70.410004
2023-09-08,Close,70.169998
2023-09-11,Open,70.360001
2023-09-11,Close,70.610001
2023-09-12,Open,70.610001
2023-09-12,Close,70.290001
2023-09-13,Open,70.290001
2023-09-13,Close,70.050003
2023-09-14,Open,70.059998
2023-09-14,Close,69.260002
2023-09-15,Open,70.019997
2023-09-15,Close,70.730003
2023-09-18,Open,71.360001
2023-09-18,Close,71.080002
2023-09-20,Open,71.000000
2023-09-20,Close,71.080002
2023-09-21,Open,71.089996
2023-09-21,Close,70.930000
2023-09-22,Open,71.330002
2023-09-22,Close,71.830002
2023-09-25,Open,71.889999
2023-09-25,Close,71.709999
2023-09-26,Open,70.550003
2023-09-26,Close,70.529999
2023-09-27,Open,70.000000
2023-09-27,Close,69.970001
2023-09-28,Open,69.500000
2023-09-28,Close,69.550003
2023-09-29,Open,70.239998
2023-09-29,Close,70.559998
2023-10-03,Open,67.480003
2023-10-03,Close,67.730003
2023-10-04,Open,69.500000
2023-10-04,Close,67.059998
2023-10-05,Open,67.000000
2023-10-05,Close,67.389999
2023-10-06,Open,67.290001
2023-10-06,Close,68.250000
2023-10-09,Open,68.500000
2023-10-09,Close,69.309998
2023-10-10,Open,69.309998
2023-10-10,Close,69.449997
2023-10-11,Open,70.099998
2023-10-11,Close,69.519997
2023-10-12,Open,69.790001
2023-10-12,Close,68.900002
2023-10-13,Open,68.680000
2023-10-13,Close,68.690002
2023-10-16,Open,70.389999
2023-10-16,Close,69.720001
2023-10-17,Open,69.790001
2023-10-17,Close,69.800003
2023-10-18,Open,70.309998
2023-10-18,Close,70.849998
2023-10-19,Open,70.489998
2023-10-19,Close,70.279999
2023-10-20,Open,70.500000
2023-10-20,Close,70.760002
2023-10-23,Open,70.760002
2023-10-23,Close,70.919998
2023-10-25,Open,70.480003
2023-10-25,Close,70.010002
2023-10-26,Open,70.300003
2023-10-26,Close,70.589996
2023-10-27,Open,70.449997
2023-10-27,Close,70.169998
2023-10-30,Open,70.610001
2023-10-30,Close,70.849998
2023-10-31,Open,70.900002
2023-10-31,Close,71.040001
2023-11-01,Open,69.989998
2023-11-01,Close,69.709999
2023-11-02,Open,70.389999
2023-11-02,Close,70.680000
2023-11-03,Open,70.180000
2023-11-03,Close,69.820000
2023-11-06,Open,70.790001
2023-11-06,Close,70.769997
2023-11-07,Open,70.389999
2023-11-07,Close,70.040001
2023-11-08,Open,70.040001
2023-11-08,Close,69.370003
2023-11-09,Open,69.290001
2023-11-09,Close,69.220001
2023-11-10,Open,69.709999
2023-11-10,Close,69.690002
2023-11-13,Open,68.779999
2023-11-13,Close,68.629997
2023-11-15,Open,68.300003
2023-11-15,Close,70.860001
2023-11-16,Open,70.980003
2023-11-16,Close,71.419998
2023-11-17,Open,69.300003
2023-11-17,Close,72.269997
2023-11-20,Open,72.260002
2023-11-20,Close,71.580002
2023-11-21,Open,71.989998
2023-11-21,Close,71.580002
2023-11-22,Open,71.589996
2023-11-22,Close,72.180000
2023-11-23,Open,75.790001
2023-11-23,Close,71.900002
2023-11-24,Open,71.900002
2023-11-24,Close,71.870003
2023-11-28,Open,72.900002
2023-11-28,Close,73.410004
2023-11-29,Open,73.739998
2023-11-29,Close,74.080002
2023-11-30,Open,74.139999
2023-11-30,Close,74.610001
2023-12-01,Open,74.889999
2023-12-01,Close,75.209999
2023-12-04,Open,75.220001
2023-12-04,Close,75.150002
2023-12-05,Open,74.260002
2023-12-05,Close,73.639999
2023-12-06,Open,73.820000
2023-12-06,Close,73.040001
2023-12-07,Open,72.599998
2023-12-07,Close,72.820000
2023-12-08,Open,72.769997
2023-12-08,Close,72.440002
2023-12-11,Open,71.389999
2023-12-11,Close,70.349998
2023-12-12,Open,70.510002
2023-12-12,Close,70.260002
2023-12-13,Open,70.110001
2023-12-13,Close,69.690002
2023-12-14,Open,71.510002
2023-12-14,Close,72.570000
2023-12-15,Open,72.629997
2023-12-15,Close,72.820000
2023-12-18,Open,72.790001
2023-12-18,Close,72.510002
2023-12-19,Open,72.480003
2023-12-19,Close,72.379997
2023-12-20,Open,73.599998
2023-12-20,Close,72.660004
2023-12-21,Open,73.000000
2023-12-21,Close,73.139999
