Date,Open
2022-12-19,65.610001
2022-12-20,65.900002
2022-12-21,67.449997
2022-12-22,67.510002
2022-12-23,66.690002
2022-12-26,66.849998
2022-12-27,67.239998
2022-12-28,67.790001
2022-12-29,66.889999
2022-12-30,67.680000
2023-01-02,67.779999
2023-01-03,67.980003
2023-01-04,68.290001
2023-01-05,67.889999
2023-01-06,67.000000
2023-01-09,67.510002
2023-01-10,68.000000
2023-01-11,67.080002
2023-01-12,67.500000
2023-01-13,67.209999
2023-01-16,68.010002
2023-01-17,68.449997
2023-01-18,68.010002
2023-01-19,68.070000
2023-01-20,67.410004
2023-01-23,67.870003
2023-01-24,67.699997
2023-01-25,67.300003
2023-01-27,67.860001
2023-01-30,67.459999
2023-01-31,67.570000
2023-02-01,67.750000
2023-02-02,69.519997
2023-02-03,69.480003
2023-02-06,67.500000
2023-02-07,66.699997
2023-02-08,66.790001
2023-02-09,66.839996
2023-02-10,66.190002
2023-02-13,66.000000
2023-02-14,65.790001
2023-02-15,65.470001
2023-02-16,66.300003
2023-02-17,65.040001
2023-02-20,64.500000
2023-02-21,67.300003
2023-02-22,65.430000
2023-02-23,64.889999
2023-02-24,64.709999
2023-02-27,63.959999
2023-02-28,62.910000
2023-03-01,63.419998
2023-03-02,63.590000
2023-03-03,63.779999
2023-03-06,63.900002
2023-03-08,62.500000
2023-03-09,61.490002
2023-03-10,60.980000
2023-03-13,61.980000
2023-03-14,64.660004
2023-03-15,65.309998
2023-03-16,65.519997
2023-03-17,66.110001
2023-03-20,66.820000
2023-03-21,67.599998
2023-03-22,67.269997
2023-03-23,68.019997
2023-03-24,68.559998
2023-03-27,68.889999
2023-03-28,68.580002
2023-03-29,68.699997
2023-03-31,70.110001
2023-04-03,69.010002
2023-04-05,72.599998
2023-04-06,72.900002
2023-04-10,72.980003
2023-04-11,73.199997
2023-04-12,74.199997
2023-04-13,74.470001
2023-04-17,74.860001
2023-04-18,73.980003
2023-04-19,73.919998
2023-04-20,73.809998
2023-04-21,74.580002
2023-04-24,73.570000
2023-04-25,74.040001
2023-04-26,73.690002
2023-04-27,73.099998
2023-04-28,73.279999
2023-05-02,73.080002
2023-05-03,74.110001
2023-05-04,75.050003
2023-05-05,75.860001
2023-05-08,75.389999
2023-05-09,75.550003
2023-05-10,75.739998
2023-05-11,75.419998
2023-05-12,71.900002
2023-05-15,71.889999
2023-05-16,71.879997
2023-05-17,71.190002
2023-05-18,70.989998
2023-05-19,71.300003
2023-05-22,71.690002
2023-05-23,71.400002
2023-05-24,70.400002
